ASIGNATURA;2017 1;2017 2;2018 1;2018 2;2019 1;2019 2;2020 1;2020 2;2021 1;2021 2;2022 1;2022 2;2023 1;2023 2;2024 1;CICLOS;AREAS
FUNCIONES ESPECIALES Y ECUACIONES DIFERENCIALES;1,7%;2,0%;0,0%;0,4%;0,8%;0,4%;0,0%;0,0%;0,0%;0,0%;0,2%;0,1%;0,0%;0,0%;0,0%;;
FUNDAMENTOS CONTABLES;2,1%;0,1%;0,0%;0,3%;0,0%;0,4%;0,0%;0,2%;0,5%;0,2%;0,0%;0,0%;0,0%;0,4%;0,0%;;
FUNDAMENTOS DE ADMINISTRACION;1,2%;0,2%;0,0%;1,1%;0,1%;0,0%;0,8%;0,3%;0,0%;0,0%;0,0%;0,0%;0,3%;0,7%;0,8%;Ciclo de profundizacion;Formacion complementaria
FUNDAMENTOS DE ECONOMIA;0,0%;0,0%;0,0%;0,0%;0,4%;0,9%;1,6%;0,8%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,1%;;
FUNDAMENTOS DE PROGRAMACION;0,0%;0,0%;0,0%;3,4%;2,8%;1,8%;2,4%;1,3%;0,0%;0,0%;0,0%;0,0%;0,0%;4,5%;2,1%;;
GERENCIA;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,5%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;;
GESTION AMBIENTAL;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;1,2%;0,2%;0,1%;0,4%;Ciclo profesional;Formacion complementaria
GESTION DE PROYECTOS DE TI;0,0%;0,0%;0,0%;0,1%;0,4%;0,0%;0,0%;0,0%;0,0%;0,2%;0,2%;0,0%;0,0%;0,0%;0,0%;Ciclo profesional;Ingenieria aplicada
GESTION Y GERENCIA DE SISTEMAS;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
HUMANIDADES I;0,2%;0,7%;0,0%;0,0%;0,2%;0,0%;0,8%;0,0%;0,5%;0,0%;0,0%;0,0%;0,5%;0,2%;0,1%;Ciclo basico ingenieria;Formacion complementaria
HUMANIDADES II;1,4%;0,5%;0,0%;0,6%;0,2%;0,2%;0,0%;0,2%;1,5%;0,6%;0,4%;0,1%;0,3%;0,0%;0,5%;Ciclo basico ingenieria;Formacion complementaria
INFORMATICA EDUCATIVA II;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
INGENIERIA DE SOFTWARE;0,0%;0,1%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
INGENIERIA DE SOFTWARE I;0,0%;0,0%;0,0%;0,0%;0,0%;1,1%;0,0%;5,3%;0,0%;4,9%;5,0%;2,3%;0,8%;1,2%;0,6%;Ciclo de profundizacion;Ingenieria aplicada
INGENIERIA DE SOFTWARE II;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,2%;1,5%;1,4%;1,7%;3,6%;1,8%;1,3%;2,1%;Ciclo de profundizacion;Ingenieria aplicada
INGENIERIA DEL SOFTWARE I;1,7%;2,4%;0,0%;1,7%;1,4%;2,0%;1,2%;0,6%;0,0%;0,0%;0,2%;0,3%;0,2%;0,2%;0,0%;;
INGENIERIA DEL SOFTWARE II;1,3%;0,1%;0,0%;0,6%;0,8%;0,2%;0,0%;0,6%;3,1%;2,5%;0,6%;0,5%;0,0%;0,1%;0,1%;;
INGENIERIA ECONOMICA;2,8%;3,2%;0,0%;2,4%;1,7%;1,7%;0,0%;0,0%;0,5%;0,0%;0,6%;0,9%;0,8%;0,1%;0,0%;Ciclo de profundizacion;Ciencias basicas de la ingenieria
INGLES I;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
INGLES II;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
INGLES III;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
INGLES IV;0,1%;0,3%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
